,Index,Город,region,federal_district
0,0,Белокуриха,Алтайский край,Сибирский
1,121,Новоалтайск,Алтайский край,Сибирский
2,242,Краснодар,Краснодарский край,Южный
3,363,Анапа,Краснодарский край,Южный
4,484,Бородино,Красноярский край,Сибирский
5,605,Шарыпово,Красноярский край,Сибирский
6,726,Большой Камень,Приморский край,Дальневосточный
7,847,Партизанск,Приморский край,Дальневосточный
8,968,Ессентуки,Ставропольский край,Северо-Кавказский
9,1089,Лермонтов,Ставропольский край,Северо-Кавказский
10,1210,Невинномысск,Ставропольский край,Северо-Кавказский
11,1331,Николаевск-на-Амуре,Хабаровский край,Дальневосточный
12,1452,Завитинск,Амурская область,Дальневосточный
13,1573,Белогорск,Амурская область,Дальневосточный
14,1694,Райчихинск,Амурская область,Дальневосточный
15,1815,Шимановск,Амурская область,Дальневосточный
16,1936,Сольвычегодск,Архангельская область,Северо-Западный
17,2057,Архангельск,Архангельская область,Северо-Западный
18,2178,Новодвинск,Архангельская область,Северо-Западный
19,2299,Бирюч,Белгородская область,Центральный
20,2420,Мглин,Брянская область,Центральный
21,2541,Почеп,Брянская область,Центральный
22,2662,Клинцы,Брянская область,Центральный
23,2783,Карабаново,Владимирская область,Центральный
24,2904,Гороховец,Владимирская область,Центральный
25,3025,Курлово,Владимирская область,Центральный
26,3146,Киржач,Владимирская область,Центральный
27,3267,Петушки,Владимирская область,Центральный
28,3388,Костерево,Владимирская область,Центральный
30,3630,Юрьев-Польский,Владимирская область,Центральный
31,3751,Гусь-Хрустальный,Владимирская область,Центральный
32,3872,Калач-на-Дону,Волгоградская область,Южный
33,3993,Новоаннинский,Волгоградская область,Южный
34,4114,Серафимович,Волгоградская область,Южный
35,4235,Краснослободск,Волгоградская область,Южный
36,4356,Камышин,Волгоградская область,Южный
37,4477,Михайловка,Волгоградская область,Южный
38,4598,Урюпинск,Волгоградская область,Южный
39,4719,Фролово,Волгоградская область,Южный
40,4840,Бабаево,Вологодская область,Северо-Западный
41,4961,Красавино,Вологодская область,Северо-Западный
42,5082,Вытегра,Вологодская область,Северо-Западный
43,5203,Никольск,Пензенская область,Приволжский
44,5324,Сокол,Вологодская область,Северо-Западный
45,5445,Тотьма,Вологодская область,Северо-Западный
46,5566,Бобров,Воронежская область,Центральный
47,5687,Бутурлиновка,Воронежская область,Центральный
48,5808,Калач,Воронежская область,Центральный
49,5929,Лиски,Воронежская область,Центральный
50,6050,Новохопёрск,Воронежская область,Центральный
